Item Name,Calories,Total Fat (g),Sat. Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbs (g),Dietary Fiber (g),Sugar (g),Added Sugar (g),Protein (g)
Cheesy Bean & Rice Burrito (V),420,17,4.5,0,<5,940,55,6,3,2,9
Cheesy Double Beef Burrito,560,25,10,0,50,"1,350",63,7,3,2,21
Chicken Enchilada Burrito,380,12,6,0,40,"1,140",49,3,3,2,19
Chili Cheese Burrito (regional),380,17,9,0,40,970,41,4,2,1,15
Grilled Cheese Burrito,710,39,16,0.5,75,"1,510",64,6,4,2,25
Grilled Cheese Burrito - Chicken,690,36,15,0,85,"1,500",62,4,4,2,29
Grilled Cheese Burrito - Steak,700,37,15,0,80,"1,520",62,4,5,2,28
Chips and Nacho Cheese Sauce (V),220,13,1.5,0,0,280,24,2,1,0,3
Loaded Beef Nachos,450,25,5,0,20,930,44,9,2,<1,12
Nachos BellGrande® - Beef,730,39,6,0,20,"1,180",80,13,4,<1,17
Nachos BellGrande® - Chicken,710,35,5,0,30,"1,180",78,12,4,<1,20
Nachos BellGrande® - Steak,720,37,5,0,25,"1,200",78,12,5,1,20
Quesadilla - Cheese (V),470,24,13,0,50,"1,000",41,3,3,2,18
Quesadilla - Chicken,510,26,13,0,75,"1,250",41,3,3,2,26
Quesadilla - Steak,520,27,14,0,70,"1,270",42,3,4,2,26
3-Cheese Chicken Flatbread Melt,330,15,6,0,50,750,28,2,4,<1,20
Black Bean Crunchwrap Supreme® (V),520,17,5,0,<5,"1,090",77,8,6,2,13
Cheesy Roll Up (V),180,9,6,0,20,430,17,1,1,<1,8
Crunchwrap Supreme®,530,20,7,0,20,"1,220",73,6,6,2,15
Mexican Pizza,530,28,8,0,40,"1,010",50,8,3,<1,19
Stacker,400,18,9,0,40,"1,070",42,4,3,2,17
Veggie Mexican Pizza (V),460,24,7,0,20,750,47,6,3,<1,14
Black Beans & Rice (V),160,4.5,0,0,0,370,25,5,<1,0,4
Black Beans (V),50,1.5,0,0,0,140,7,4,0,0,3
Cheesy Fiesta Potatoes (V),240,13,2,0,<5,520,28,3,<1,0,3
Cinnabon® Delights™ (2 Pk) (V),170,11,3.5,0,5,70,15,<1,9,9,2
Cinnamon Twists (V),170,6,0.5,0,0,115,27,<1,10,10,1
Pintos N Cheese (V),170,7,3,0,10,690,19,7,1,<1,9
Hot Coffee with Creamer,45,1,0.5,0,<5,10,8,0,7,7,<1
Iced Coffee with Creamer,45,1,0.5,0,<5,15,8,0,7,7,<1
Lowfat Milk - CA (Regional),100,2,1.5,0,10,130,13,0,12,0,9
Lowfat Milk - Federal (Regional),80,2,1.5,0,10,100,10,0,9,0,7
Mexican Mocha Coffee - Hot,160,2.5,1.5,0,5,55,32,0,20,19,2
Vanilla Crema Coffee - Hot,100,2,1,0,5,10,20,0,14,14,2
3-Cheese Chicken Flatbread Melt - Value Menu,330,15,6,0,50,750,28,2,4,<1,20
Cheesy Bean & Rice Burrito - Value Menu,420,17,4.5,0,<5,940,55,6,3,2,9
Cheesy Double Beef Burrito - Value Menu,560,25,10,0,50,"1,350",63,7,3,2,21
Cheesy Fiesta Potatoes - Value Menu,240,13,2,0,<5,520,28,3,<1,0,3
Cheesy Roll Up - Value Menu,180,9,6,0,20,430,17,1,1,<1,8
Chicken Enchilada Burrito - Value Menu,380,12,6,0,40,"1,140",49,3,3,2,19
Double Stacked Taco - Value Menu,320,16,5,0,25,610,34,4,2,<1,10
Loaded Beef Nachos - Value Menu,450,25,5,0,20,930,44,9,2,<1,12
Spicy Potato Soft Taco - Value Menu,240,12,3,0,10,470,28,2,1,<1,5
Bean Burrito,360,10,4.5,0,5,"1,080",54,8,3,2,13
Black Bean Chalupa Supreme®,340,17,3.5,0,10,460,36,6,4,<1,10
Black Bean Crunchwrap Supreme®,520,17,5,0,<5,"1,090",77,8,6,2,13
Black Beans,50,1.5,0,0,0,140,7,4,0,0,3
Black Beans & Rice,160,4.5,0,0,0,370,25,5,<1,0,4
Cheese Quesadilla,470,24,13,0,50,"1,000",41,3,3,2,18
Cheesy Bean & Rice Burrito,420,17,4.5,0,<5,940,55,6,3,2,9
Cheesy Fiesta Potatoes,240,13,2,0,<5,520,28,3,<1,0,3
Cheesy Roll Up,180,9,6,0,20,430,17,1,1,<1,8
Cinnabon® Delights™ (2 Pack),170,11,3.5,0,5,70,15,<1,9,9,2
Cinnamon Twists,170,6,0.5,0,0,115,27,<1,10,10,1
Hash Brown,160,11,1,0,0,280,14,1,0,0,1
Pintos N Cheese,170,7,3,0,10,690,19,7,1,<1,9
Spicy Potato Soft Taco,240,12,3,0,10,470,28,2,1,<1,5
Veggie Bowl,410,20,6,0,20,850,47,11,3,0,12
Veggie Mexican Pizza,460,24,7,0,20,750,47,6,3,<1,14
Breakfast California Crunchwrap - Bacon,640,38,12,0,135,"1,330",53,5,3,2,21
Breakfast California Crunchwrap - Sausage,690,44,15,0,140,"1,300",54,5,3,2,20
Breakfast Crunchwrap - Bacon,670,40,13,0,140,"1,300",52,4,3,2,21
Breakfast Crunchwrap - Sausage Patty,750,49,17,0,150,"1,210",53,4,3,2,21
Breakfast Crunchwrap - Steak,660,38,12,0,145,"1,350",53,4,3,2,24
Breakfast Quesadilla - Bacon,510,27,14,0,155,"1,260",40,3,3,2,25
Breakfast Quesadilla - Sausage,510,29,15,0,150,"1,130",40,3,3,2,23
Breakfast Quesadilla - Steak,510,25,14,0,160,"1,310",41,3,4,2,28
Cheesy Toasted Breakfast Burrito - Bacon,350,16,5,0,110,900,38,2,3,2,13
Cheesy Toasted Breakfast Burrito - Fiesta Potato (V),340,14,3.5,0,95,770,44,3,3,1,9
Cheesy Toasted Breakfast Burrito - Sausage,350,17,6,0,105,770,38,2,3,2,10
Cinnabon® Delights™ (2 Pack) (V),170,11,3.5,0,5,70,15,<1,9,9,2
Grande Toasted Breakfast Burrito - Bacon,570,30,11,0,225,"1,320",51,4,3,2,23
Grande Toasted Breakfast Burrito - Sausage,570,31,12,0,220,"1,190",51,4,3,2,21
Grande Toasted Breakfast Burrito - Steak,570,28,10,0,230,"1,370",52,4,4,2,27
Hash Brown (V),160,11,1,0,0,280,14,1,0,0,1
Hash Brown Toasted Breakfast Burrito - Bacon,580,32,10,0,130,"1,300",52,3,3,2,20
Hash Brown Toasted Breakfast Burrito - Sausage,570,33,11,0,125,"1,170",52,3,3,2,18
Hash Brown Toasted Breakfast Burrito - Steak,570,30,10,0,135,"1,350",53,3,3,2,24
Hot Coffee with Creamer,45,1,0.5,0,<5,10,8,0,7,7,<1
Iced Coffee with Creamer,45,1,0.5,0,<5,15,8,0,7,7,<1
